FX_EURONOK,Interest_rate,Food_index,Date
11.200000000000003,4.5,80.70399999999998,2024-01-07
11.316158826380352,4.5,81.08518862257843,2024-01-14
11.059024255387277,4.5,81.34701437685712,2024-01-21
10.805922968915084,4.5,81.2222298703884,2024-01-28
10.782182585718033,4.5,81.12135388080789,2024-02-04
10.823522532264017,4.5,80.80413233792542,2024-02-11
10.727376477608857,4.5,80.64371924104657,2024-02-18
10.576483030779308,4.5,80.3617456631574,2024-02-25
10.53930400923864,4.5,80.12907275362817,2024-03-03
10.531993440243598,4.5,80.07663131313872,2024-03-10
10.504967273885248,4.5,80.04230316977836,2024-03-17
10.643416244329794,4.5,80.09222376097215,2024-03-24
10.716092895396741,4.5,80.03768239159992,2024-03-31
10.828215098604215,4.5,80.12505518637117,2024-04-07
10.798365759072722,4.5,80.20267510170923,2024-04-14
10.742713279729589,4.5,80.52675393887287,2024-04-21
10.809137297982266,4.5,80.38665396846368,2024-04-28
10.786600573624867,4.5,80.43097751026855,2024-05-05
10.640418766394067,4.5,80.39180716123748,2024-05-12
10.686428423432972,4.5,80.78235391356279,2024-05-19
10.717462189735718,4.5,80.79715603733256,2024-05-26
10.796965328556194,4.5,80.43589087300978,2024-06-02
10.84344948516767,4.5,80.75809132895829,2024-06-09
10.786730644853703,4.5,81.095114473983,2024-06-16
10.774400704114091,4.5,81.3562557284822,2024-06-23
10.741346676552967,4.5,81.63824440951416,2024-06-30
10.786374930680903,4.25,81.84260688276487,2024-07-07
10.84220305294668,4.25,81.62982735572893,2024-07-14
10.88463112295595,4.25,81.70392645828372,2024-07-21
10.885387838808551,4.25,81.61716441877851,2024-07-28
10.914048687074796,4.25,81.56487270912287,2024-08-04
10.963187317546144,4.25,81.82447119202598,2024-08-11
10.937161202355483,4.25,81.75038178207991,2024-08-18
10.984084484612838,4.25,81.69847090882462,2024-08-25
11.130442650373316,4.25,81.79834142682472,2024-09-01
11.16341844064843,4.25,81.9436858846871,2024-09-08
11.17714966830163,4.25,82.22326419935195,2024-09-15
11.13172095558651,4.25,82.52009448890702,2024-09-22
11.055647955506288,4.25,82.64377127324659,2024-09-29
10.934629194962824,4.25,82.39354815683348,2024-10-06
10.922857522994173,4.25,82.45578738676238,2024-10-13
11.053010933187108,4.25,82.70630162161632,2024-10-20
11.105678283609386,4.25,82.79906541654417,2024-10-27
11.20743935733914,4.25,82.80025174365727,2024-11-03
11.313130665513846,4.25,82.63281240521806,2024-11-10
11.30741712257253,4.25,82.71238500876863,2024-11-17
11.42669452945148,4.25,82.65669842464202,2024-11-24
11.390573111522926,4.25,82.7252841937441,2024-12-01
10.797258915877388,4.25,82.71664813582393,2024-12-08
10.46453113656226,4.25,82.66849898934205,2024-12-15
10.445119934771746,4.25,82.44824553323035,2024-12-22
10.18521582472812,4.25,82.56750644230691,2024-12-29
